ID,predicted_price
PU-1,1.612703
PU-2,1.6440547
PU-3,2.8706644
PU-4,1.4288087
PU-5,3.5364656
PU-6,1.65408
PU-7,1.751644
PU-8,1.7016155
PU-9,1.3601867
PU-10,1.6547927
PU-11,1.004599
PU-12,3.4799716
PU-13,0.8834655
PU-14,1.9750661
PU-15,1.599909
PU-16,0.95724577
PU-17,3.0228977
PU-18,2.6786666
PU-19,0.9585982
PU-20,3.2477272
PU-21,1.636194
PU-22,1.6876059
PU-23,3.241186
PU-24,1.5625011
PU-25,2.6168175
PU-26,1.9906298
PU-27,2.1668978
PU-28,1.6699036
PU-29,2.7167487
PU-30,1.5872487
PU-31,4.020259
PU-32,1.2111881
PU-33,2.7791953
PU-34,1.7236046
PU-35,1.7684453
PU-36,1.4656826
PU-37,1.7279774
PU-38,3.2391253
PU-39,2.5200262
PU-40,2.2935312
PU-41,1.8256218
PU-42,1.3168222
PU-43,1.4349309
PU-44,1.9481353
PU-45,1.7770196
PU-46,0.9305481
PU-47,1.455116
PU-48,1.3068638
PU-49,0.77401274
PU-50,2.655678
PU-51,2.5354178
PU-52,2.124396
PU-53,2.0947287
PU-54,2.41793
PU-55,1.0328394
PU-56,4.443293
PU-57,3.0944107
PU-58,2.5581055
PU-59,1.7680593
PU-60,2.4067976
PU-61,1.3281338
PU-62,1.3406217
PU-63,2.1710043
PU-64,1.3041642
PU-65,6.1257033
PU-66,2.0114613
PU-67,1.9455255
PU-68,1.1512425
PU-69,1.4145534
PU-70,1.9631453
PU-71,1.6486996
PU-72,2.758309
PU-73,1.5304316
PU-74,2.6298285
PU-75,1.8600546
PU-76,1.002729
PU-77,2.1352317
PU-78,0.8329462
PU-79,1.546684
PU-80,1.213118
PU-81,1.296736
PU-82,1.3892393
PU-83,1.5814937
PU-84,2.0800686
PU-85,4.1241865
PU-86,1.1714176
PU-87,2.9697523
PU-88,1.1842432
PU-89,3.5405753
PU-90,3.2502882
PU-91,0.8476051
PU-92,0.9596436
PU-93,2.8972456
PU-94,1.5694896
PU-95,2.093737
PU-96,1.7513795
PU-97,1.3591405
PU-98,2.0945594
PU-99,2.09556
PU-100,0.9809432
PU-101,1.308608
PU-102,1.5042828
PU-103,1.2058908
PU-104,1.4080731
PU-105,2.2427728
PU-106,1.3670577
PU-107,0.75237703
PU-108,1.4435545
PU-109,2.138829
PU-110,1.6718216
PU-111,1.3501604
PU-112,2.4103777
PU-113,1.7140938
PU-114,1.9307342
PU-115,2.0352976
PU-116,1.7206705
PU-117,1.9347303
PU-118,1.3928611
PU-119,1.1643093
PU-120,1.4347188
PU-121,1.100621
PU-122,2.2558115
PU-123,2.7591457
PU-124,2.120001
PU-125,1.9145098
PU-126,4.4720063
PU-127,1.9937456
PU-128,2.0200727
PU-129,1.5937055
PU-130,1.2296027
PU-131,2.309767
PU-132,1.101871
PU-133,2.1649609
PU-134,1.4348778
PU-135,2.0680916
PU-136,1.9640405
PU-137,1.5165228
PU-138,2.1683302
PU-139,1.3500385
PU-140,2.5515563
PU-141,3.7099552
PU-142,0.82445854
PU-143,2.0784879
PU-144,1.2551458
PU-145,1.8500501
PU-146,1.8482548
PU-147,2.109918
PU-148,1.0017669
PU-149,1.2547128
PU-150,1.498855
PU-151,1.2037356
PU-152,1.5731875
PU-153,2.401012
PU-154,1.5252217
PU-155,2.65252
PU-156,1.7572378
PU-157,1.2006139
PU-158,1.2947549
PU-159,4.861079
PU-160,1.534609
PU-161,0.92159045
PU-162,1.8258253
PU-163,1.0330138
PU-164,3.6104665
PU-165,5.1495295
PU-166,1.2607561
PU-167,1.5165509
PU-168,4.6998754
PU-169,2.018995
PU-170,0.94911855
PU-171,2.1862555
PU-172,1.773772
PU-173,2.3710022
PU-174,1.3336209
PU-175,1.22097
PU-176,1.8567308
PU-177,2.6014543
PU-178,2.1345038
PU-179,1.686419
PU-180,1.580622
PU-181,0.7782297
PU-182,3.387258
PU-183,2.1204054
PU-184,2.5743556
PU-185,1.7212592
PU-186,4.567549
PU-187,2.3422122
PU-188,1.295827
PU-189,1.0651938
PU-190,1.615763
PU-191,3.359482
PU-192,1.1612624
PU-193,1.4312662
PU-194,0.9806697
PU-195,1.7404113
PU-196,4.267362
PU-197,5.1997237
PU-198,1.1786263
PU-199,2.035276
PU-200,1.4845636
PU-201,2.8809865
PU-202,0.8544966
PU-203,3.6188679
PU-204,1.8179419
PU-205,1.3150915
PU-206,1.3649594
PU-207,1.479627
PU-208,2.0697694
PU-209,3.3630395
PU-210,2.3162777
PU-211,1.2581066
PU-212,1.6667066
PU-213,1.8631
PU-214,1.492788
PU-215,2.32609
PU-216,1.1819111
PU-217,1.5713607
PU-218,2.352755
PU-219,1.4917058
PU-220,1.3354044
PU-221,1.4739282
PU-222,2.2757864
PU-223,1.4169828
PU-224,1.9878987
PU-225,1.7957699
PU-226,1.8311954
PU-227,1.765815
PU-228,2.6107438
PU-229,2.1532698
PU-230,0.8615627
PU-231,1.4168646
PU-232,1.3681082
PU-233,1.9312898
PU-234,1.7196598
PU-235,1.2320899
PU-236,2.4570374
PU-237,2.9365826
PU-238,4.4204893
PU-239,2.5156634
PU-240,3.5381956
PU-241,2.8691235
PU-242,2.650117
PU-243,2.8408427
PU-244,1.4834863
PU-245,1.7289871
PU-246,2.312058
PU-247,1.0784725
PU-248,1.0228248
PU-249,1.131304
PU-250,3.0921147
PU-251,3.4492218
PU-252,3.813066
PU-253,1.2934906
PU-254,1.9645164
PU-255,2.1747746
PU-256,2.5812228
PU-257,1.5940543
PU-258,3.4286356
PU-259,1.5603584
PU-260,2.839573
PU-261,1.3408564
PU-262,2.2422879
PU-263,1.7709401
PU-264,1.690357
PU-265,0.92986786
PU-266,3.277049
PU-267,2.9720135
PU-268,2.0519514
PU-269,2.6625023
PU-270,1.7016157
PU-271,3.7872102
PU-272,2.135283
PU-273,2.1020544
PU-274,3.0766106
PU-275,3.1617298
PU-276,2.280318
PU-277,1.8482774
PU-278,1.2027307
PU-279,2.0748003
PU-280,1.2412193
PU-281,1.1742048
PU-282,1.7742684
PU-283,1.1303928
PU-284,2.373759
PU-285,1.6128292
PU-286,3.2510521
PU-287,1.8713046
PU-288,1.0364505
PU-289,1.2012992
PU-290,0.95645005
PU-291,2.1775236
PU-292,3.0453427
PU-293,0.96305233
PU-294,1.7324529
PU-295,4.404177
PU-296,1.3822068
PU-297,1.1901743
PU-298,1.1152793
PU-299,2.0220942
PU-300,3.0710948
PU-301,0.96847904
PU-302,1.445698
PU-303,1.058845
PU-304,2.665219
PU-305,1.695794
PU-306,2.19438
PU-307,5.6273823
PU-308,1.4542186
PU-309,2.094669
PU-310,4.3822355
PU-311,4.4052534
PU-312,4.2221236
PU-313,3.9955914
PU-314,2.8144388
PU-315,3.9183035
PU-316,1.7768195
PU-317,1.925384
PU-318,1.2115407
PU-319,2.0307963
PU-320,1.2369647
PU-321,1.9139423
PU-322,1.567983
PU-323,3.8218868
PU-324,1.0912478
PU-325,2.5717218
PU-326,2.6664026
PU-327,2.7407174
PU-328,1.37726
PU-329,2.122424
PU-330,3.3915007
PU-331,1.6291327
PU-332,2.3273134
PU-333,2.9931133
PU-334,1.3845255
PU-335,0.92899376
PU-336,1.2975278
PU-337,2.360075
PU-338,2.0458663
PU-339,2.9721751
PU-340,1.1926179
PU-341,1.2890589
PU-342,0.81867856
PU-343,1.1815251
PU-344,0.99487066
PU-345,2.678101
PU-346,1.3195523
PU-347,1.0086031
PU-348,0.89378506
PU-349,2.2048802
PU-350,1.0012392
PU-351,2.6160874
PU-352,1.8443387
PU-353,1.6988593
PU-354,1.7693843
PU-355,1.2269377
PU-356,3.4542854
PU-357,1.2746556
PU-358,1.8921204
PU-359,1.7899209
PU-360,3.278949
PU-361,0.87566024
PU-362,1.1737368
PU-363,0.9469797
PU-364,1.3538575
PU-365,2.3726373
PU-366,6.612118
PU-367,3.0342317
PU-368,1.51635
PU-369,1.1745564
PU-370,3.7710953
PU-371,2.2383277
PU-372,1.7987812
PU-373,1.8057423
PU-374,2.1965811
PU-375,1.3626758
PU-376,4.154897
PU-377,1.4552945
PU-378,2.3698018
PU-379,1.9712116
PU-380,1.8552964
PU-381,2.3633604
PU-382,2.4230793
PU-383,1.5894076
PU-384,5.628325
PU-385,1.6087629
PU-386,1.1755229
PU-387,0.98823726
PU-388,1.080314
PU-389,1.1572849
PU-390,1.370914
PU-391,1.6627089
PU-392,1.5450637
PU-393,4.588432
PU-394,1.4405086
PU-395,1.6877972
PU-396,2.5726721
PU-397,3.1082716
PU-398,1.0409061
PU-399,1.4701437
PU-400,0.95276344
PU-401,1.3994365
PU-402,1.5100266
PU-403,1.1528817
PU-404,1.3336228
PU-405,3.228164
PU-406,1.7506582
PU-407,1.7952138
PU-408,2.1191626
